City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,90,23.02,overcast clouds
144,Langenburg,DE,49.2544,9.8458,47.91,100,75,4.61,broken clouds
145,Yumen,CN,40.2833,97.2,36.01,73,0,5.39,clear sky
146,Dikson,RU,73.5069,80.5464,13.21,86,100,8.95,overcast clouds
147,Hofn,IS,64.2539,-15.2082,40.69,90,100,21.7,light rain
148,Chuy,UY,-33.6971,-53.4616,72.03,73,0,6.71,clear sky
149,Taitung,TW,22.7583,121.1444,73.45,86,47,8.97,scattered clouds
150,Margate,GB,51.3813,1.3862,59.04,82,96,4.0,overcast clouds
151,Portobelo,PA,9.55,-79.65,77.95,74,66,8.23,broken clouds
152,Mehamn,NO,71.0357,27.8492,35.51,59,95,23.29,overcast clouds
153,Kandrian,PG,-6.2167,149.55,81.25,81,100,5.03,overcast clouds
154,Pevek,RU,69.7008,170.3133,10.54,93,100,12.41,light snow
155,Gravdal,NO,68.1214,13.5031,42.76,85,100,4.97,overcast clouds
156,Ginda,IN,30.6945,78.4932,47.25,41,0,7.23,clear sky
157,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.78,96,100,1.74,overcast clouds
158,San Patricio,US,28.017,-97.5169,89.46,59,88,16.78,overcast clouds
159,Diffa,NE,13.3154,12.6113,85.95,15,71,8.03,broken clouds
160,Hailar,CN,49.2,119.7,32.34,77,2,9.48,clear sky
161,Richards Bay,ZA,-28.783,32.0377,66.94,92,100,5.57,light rain
162,Cumra,TR,37.5732,32.7745,46.54,53,9,2.68,clear sky
163,Alofi,NU,-19.0595,-169.9187,80.49,65,75,16.11,broken clouds
164,Saint-Augustin,CA,51.226,-58.6502,42.46,61,2,4.9,clear sky
165,Novobirilyussy,RU,56.9514,90.6661,40.32,65,98,16.93,overcast clouds
166,Lingao,CN,19.9103,109.6859,75.78,82,100,14.0,light rain
167,Sakakah,SA,29.9697,40.2064,71.17,27,21,8.14,few clouds
168,Zomba,MW,-15.386,35.3188,72.55,67,32,6.2,scattered clouds
169,Kuopio,FI,62.8924,27.677,46.35,87,75,10.36,broken clouds
170,Deputatskiy,RU,69.3,139.9,-0.53,96,100,2.39,overcast clouds
171,Ternate,ID,0.8,127.4,80.98,78,69,3.13,broken clouds
172,Huanren,CN,41.2647,125.3667,38.21,81,0,2.37,clear sky
173,Tilichiki,RU,60.4667,166.1,3.97,90,9,6.44,clear sky
174,Pokhara,NP,28.2333,83.9833,58.82,53,0,6.76,clear sky
175,Ballina,AU,-28.8667,153.5667,69.76,90,75,3.44,broken clouds
176,Besikduzu,TR,41.052,39.2284,53.49,74,1,6.38,clear sky
177,Anloga,GH,5.7947,0.8973,77.22,81,67,9.24,broken clouds
178,Copala,MX,16.65,-98.9833,82.24,80,90,5.95,overcast clouds
179,Port Augusta,AU,-32.5,137.7667,75.34,31,98,6.53,light rain
180,Carnarvon,AU,-24.8667,113.6333,66.27,52,90,10.36,overcast clouds
181,Mayo,US,38.8876,-76.5119,59.29,66,90,17.0,overcast clouds
182,Tashtyp,RU,52.7939,89.8983,41.41,65,25,6.55,scattered clouds
183,Longyearbyen,SJ,78.2186,15.6401,12.04,79,40,8.05,scattered clouds
184,Ajdabiya,LY,30.7554,20.2263,69.98,77,0,7.54,clear sky
185,Port-Gentil,GA,-0.7193,8.7815,78.76,89,75,8.05,broken clouds
186,Ketchikan,US,55.3422,-131.6461,46.87,87,90,13.8,light rain
187,Chokurdakh,RU,70.6333,147.9167,-8.45,98,96,4.65,overcast clouds
188,Cayenne,GF,4.9333,-52.3333,82.44,86,40,5.01,scattered clouds
189,Kavieng,PG,-2.5744,150.7967,83.39,70,85,4.7,overcast clouds
190,Luderitz,NA,-26.6481,15.1594,57.79,93,3,2.62,clear sky
191,Jalu,LY,29.0331,21.5482,72.39,45,0,11.72,clear sky
192,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,96,100,4.59,overcast clouds
193,Nelson Bay,AU,-32.7167,152.15,67.1,79,9,1.99,clear sky
194,Bellavista,PE,-7.0561,-76.5911,79.88,64,91,2.51,overcast clouds
195,Kodiak,US,57.79,-152.4072,40.28,60,90,14.97,overcast clouds
196,Hambantota,LK,6.1241,81.1185,73.74,100,90,2.3,overcast clouds
197,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,17.27,few clouds
198,Helong,CN,42.5397,128.9972,38.1,83,0,6.22,clear sky
