City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Richards Bay,ZA,2021-10-20 21:30:52,-28.783,32.0377,63.63,71,0,10.78
178,Yulara,AU,2021-10-20 21:30:52,-25.2406,130.9889,60.64,39,0,8.05
179,Yellowknife,CA,2021-10-20 21:30:53,62.456,-114.3525,45.41,72,40,16.11
180,San Quintin,MX,2021-10-20 21:30:53,30.4833,-115.95,67.77,65,0,13.73
181,Saint-Augustin,CA,2021-10-20 21:30:54,51.226,-58.6502,45.19,86,100,13.71
182,Neiafu,TO,2021-10-20 21:30:54,-18.65,-173.9833,79.48,57,20,9.22
183,Batagay-Alyta,RU,2021-10-20 21:30:55,67.8006,130.4114,9.18,90,100,3.38
184,Odweyne,SO,2021-10-20 21:30:55,9.4092,45.064,74.03,26,63,11.21
185,Nishihara,JP,2021-10-20 21:30:56,26.1842,127.7558,76.28,78,90,4.61
186,Curuca,BR,2021-10-20 21:30:56,-0.7289,-47.8481,78.35,83,51,7.23
187,Baruun-Urt,MN,2021-10-20 21:30:57,46.6806,113.2792,28.8,74,6,6.4
188,Manta,EC,2021-10-20 21:30:57,-0.95,-80.7333,76.78,78,90,9.22
189,Nabire,ID,2021-10-20 21:30:58,-3.3667,135.4833,77.18,89,99,2.46
190,Alyangula,AU,2021-10-20 21:30:58,-13.8483,136.4192,80.47,83,63,5.75
191,Agirish,RU,2021-10-20 21:30:59,61.9247,63.0231,28.31,89,29,4.97
192,Longyan,CN,2021-10-20 21:30:59,25.1072,117.0225,65.39,97,100,4.47
193,Dikson,RU,2021-10-20 21:31:00,73.5069,80.5464,28.0,62,87,12.66
194,Opunake,NZ,2021-10-20 21:31:00,-39.4556,173.8583,60.33,78,97,7.52
195,Kapit,MY,2021-10-20 21:31:01,2.0167,112.9333,72.88,100,100,0.89
196,Victoria,HK,2021-10-20 21:31:02,22.2855,114.1577,79.32,85,87,3.0
197,Lebyazhye,RU,2021-10-20 21:31:02,55.2689,66.4947,47.08,83,100,8.43
198,Celestun,MX,2021-10-20 21:31:03,20.8667,-90.4,82.22,80,76,11.56
199,Kedougou,SN,2021-10-20 21:31:04,12.5579,-12.1743,88.38,70,0,2.3
200,Fortuna,US,2021-10-20 21:31:04,40.5982,-124.1573,63.93,68,20,3.0
201,Krasnoturansk,RU,2021-10-20 21:31:05,54.3186,91.5639,23.79,72,87,4.97
202,Havelock,US,2021-10-20 21:31:05,34.8791,-76.9013,80.55,65,1,4.0
203,Ulladulla,AU,2021-10-20 21:31:05,-35.35,150.4667,62.76,85,49,5.86
204,Santiago,CL,2021-10-20 21:31:06,-33.4569,-70.6483,66.85,55,0,5.75
205,Inhambane,MZ,2021-10-20 21:31:06,-23.865,35.3833,66.27,73,0,6.31
206,Mount Gambier,AU,2021-10-20 21:31:07,-37.8333,140.7667,58.91,77,59,8.05
207,Kiruna,SE,2021-10-20 21:31:07,67.8557,20.2251,22.12,93,90,8.05
208,Korla,CN,2021-10-20 21:31:08,41.7597,86.1469,51.73,28,27,1.05
209,Sioux Lookout,CA,2021-10-20 21:31:08,50.1001,-91.917,41.38,52,20,9.22
210,Nizhnyaya Poyma,RU,2021-10-20 21:31:09,56.1622,97.1933,33.12,83,10,4.09
211,Kununurra,AU,2021-10-20 21:31:09,-15.7667,128.7333,78.78,78,87,3.44
212,Codrington,AU,2021-10-20 21:31:09,-38.2667,141.9667,63.36,63,61,11.83
213,Ilulissat,GL,2021-10-20 21:31:10,69.2167,-51.1,30.22,59,20,0.0
214,Carutapera,BR,2021-10-20 21:31:10,-1.195,-46.02,79.47,76,13,7.09
215,Prince Rupert,CA,2021-10-20 21:31:11,54.3161,-130.3201,51.89,79,90,8.05
216,Zyryanka,RU,2021-10-20 21:31:11,65.75,150.85,-4.23,91,47,5.35
217,Esperance,AU,2021-10-20 21:31:12,-33.8667,121.9,55.24,84,11,15.68
218,Lamu,KE,2021-10-20 21:31:12,-2.2717,40.902,77.22,81,98,12.41
219,Garowe,SO,2021-10-20 21:31:12,8.4054,48.4845,75.51,75,39,7.09
220,George,ZA,2021-10-20 21:31:13,-33.963,22.4617,56.75,94,40,4.61
221,Lavrentiya,RU,2021-10-20 21:31:13,65.5833,-171.0,30.79,98,99,6.71
222,Jalu,LY,2021-10-20 21:31:14,29.0331,21.5482,71.58,44,11,8.5
223,Hue,VN,2021-10-20 21:31:14,16.4667,107.6,75.31,100,20,0.0
224,Sembe,CG,2021-10-20 21:31:15,1.6481,14.5806,69.82,99,99,2.33
225,Nerang,AU,2021-10-20 21:31:15,-27.9833,153.3333,71.92,83,81,1.01
226,Cheney,US,2021-10-20 21:31:16,47.4874,-117.5758,56.77,77,75,12.66
